index	genome	identifier	file	clip	scale	sum_stat	description
0	0	A-Cortex-PK29	/path/to/data/Epigenomes/Duck/atac/bw/A-Cortex-PK29.bw	32	4	mean	ATAC-seq:Cortex |  A-Cortex-PK29 from A-cerebrum-PK29-1
1	0	A-Cortex-PK32	/path/to/data/Epigenomes/Duck/atac/bw/A-Cortex-PK32.bw	32	4	mean	ATAC-seq:Cortex |  A-Cortex-PK32 from A-PK32-Dnao-2
2	0	A-Cerebellum-PK29	/path/to/data/Epigenomes/Duck/atac/bw/A-Cerebellum-PK29.bw	32	4	mean	ATAC-seq:Cerebellum |  A-Cerebellum-PK29 from A-cerebellum-pk29-1
3	0	A-Cerebellum-PK32	/path/to/data/Epigenomes/Duck/atac/bw/A-Cerebellum-PK32.bw	32	4	mean	ATAC-seq:Cerebellum |  A-Cerebellum-PK32 from A-PK32-XN
4	0	A-Hypothalamus-PK29	/path/to/data/Epigenomes/Duck/atac/bw/A-Hypothalamus-PK29.bw	32	4	mean	ATAC-seq:Hypothalamus |  A-Hypothalamus-PK29 from A-PK29-XQN-3
5	0	A-Hypothalamus-PK32	/path/to/data/Epigenomes/Duck/atac/bw/A-Hypothalamus-PK32.bw	32	4	mean	ATAC-seq:Hypothalamus |  A-Hypothalamus-PK32 from A-pk32-XQN
6	0	A-Retina-PK1	/path/to/data/Epigenomes/Duck/atac/bw/A-Retina-PK1.bw	32	4	mean	ATAC-seq:Retina |  A-Retina-PK1 from A-PK1-SWM-1
7	0	A-Retina-PK29	/path/to/data/Epigenomes/Duck/atac/bw/A-Retina-PK29.bw	32	4	mean	ATAC-seq:Retina |  A-Retina-PK29 from A-PK29-SWM
8	0	A-Pituitary-PK2	/path/to/data/Epigenomes/Duck/atac/bw/A-Pituitary-PK2.bw	32	4	mean	ATAC-seq:Pituitary |  A-Pituitary-PK2 from A-PK2-CT
9	0	A-Pituitary-PK32	/path/to/data/Epigenomes/Duck/atac/bw/A-Pituitary-PK32.bw	32	4	mean	ATAC-seq:Pituitary |  A-Pituitary-PK32 from A-pk32-CT-1
10	0	A-Adipose-PK29	/path/to/data/Epigenomes/Duck/atac/bw/A-Adipose-PK29.bw	32	4	mean	ATAC-seq:Adipose |  A-Adipose-PK29 from A-PK29-PZHI
11	0	A-Adipose-PK2	/path/to/data/Epigenomes/Duck/atac/bw/A-Adipose-PK2.bw	32	4	mean	ATAC-seq:Adipose |  A-Adipose-PK2 from A-PK2-Pzhi
