Track,Type,NAME,RENAME,Tissue,Desc,Bed_file,Bam_file
1,ATAC-seq,A-cerebrum-PK29-1,A-Cortex-PK29,Cortex,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
2,ATAC-seq,A-PK32-Dnao-2,A-Cortex-PK32,Cortex,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
3,ATAC-seq,A-cerebellum-pk29-1,A-Cerebellum-PK29,Cerebellum,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
4,ATAC-seq,A-PK32-XN,A-Cerebellum-PK32,Cerebellum,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
5,ATAC-seq,A-PK29-XQN-3,A-Hypothalamus-PK29,Hypothalamus,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
6,ATAC-seq,A-pk32-XQN,A-Hypothalamus-PK32,Hypothalamus,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
7,ATAC-seq,A-PK1-SWM-1,A-Retina-PK1,Retina,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
8,ATAC-seq,A-PK29-SWM,A-Retina-PK29,Retina,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
9,ATAC-seq,A-PK2-CT,A-Pituitary-PK2,Pituitary,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
10,ATAC-seq,A-pk32-CT-1,A-Pituitary-PK32,Pituitary,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
11,ATAC-seq,A-PK29-PZHI,A-Adipose-PK29,Adipose,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
12,ATAC-seq,A-PK2-Pzhi,A-Adipose-PK2,Adipose,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
13,ATAC-seq,A1-PK29-XJ-3,A-Muscle-PK29,Muscle,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
14,ATAC-seq,A-PK32-XJ,A-Muscle-PK32,Muscle,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
15,ATAC-seq,A-PK29-CB,A-Wing-PK29,Wing,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
16,ATAC-seq,A-PK32-CB,A-Wing-PK32,Wing,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
17,ATAC-seq,A-PK29-QN2,A-Airsac-PK29,Airsac,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
18,ATAC-seq,A-PK32-QN-1,A-Airsac-PK32,Airsac,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
19,ATAC-seq,A-lung-PK29-2,A-Lung-PK29,Lung,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
20,ATAC-seq,A-PK32-F-1,A-Lung-PK32,Lung,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
21,ATAC-seq,A-spleen-PK29-1,A-Spleen-PK29,Spleen,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
22,ATAC-seq,A-PK32-PZa-1,A-Spleen-PK32,Spleen,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
23,ATAC-seq,A-PK29-XX,A-Thymus-PK29,Thymus,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
24,ATAC-seq,A-PK32-xx-1,A-Thymus-PK32,Thymus,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
25,ATAC-seq,A-bursa-fabricius-PK29-2,A-Bursa-PK29,Bursa,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
26,ATAC-seq,A-PK32-FSN-1,A-Bursa-PK32,Bursa,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
27,ATAC-seq,A-ZF35-LC,A-Ovary-ZF35,Ovary,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
28,ATAC-seq,A-ZF36-LC,A-Ovary-ZF36,Ovary,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
29,ATAC-seq,A-ZF35-PD,A-Magnum-ZF35,Magnum,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
30,ATAC-seq,A-ZF36-PD,A-Magnum-ZF36,Magnum,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
31,ATAC-seq,A-ZF35-ZG,A-Uterus-ZF35,Uterus,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
32,ATAC-seq,A-ZF36-ZG,A-Uterus-ZF36,Uterus,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
33,ATAC-seq,A-ZF31-GW,A-Testis-ZF31,Testis,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
34,ATAC-seq,A-ZF32-GW,A-Testis-ZF32,Testis,,/storage-05/workspace/epi_duck/bed,/path/to/data/Epigenomes/Duck/dedup_bam
