Track,Type,NAME,RENAME,Tissue,AS_file,Desc
1,ATAC-seq,A-cerebrum-PK29-1,A-Cortex-PK29,Cortex,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Cortex-PK29_AS_significant_final.txt,
2,ATAC-seq,A-PK32-Dnao-2,A-Cortex-PK32,Cortex,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Cortex-PK32_AS_significant_final.txt,
3,ATAC-seq,A-cerebellum-pk29-1,A-Cerebellum-PK29,Cerebellum,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Cerebellum-PK29_AS_significant_final.txt,
4,ATAC-seq,A-PK32-XN,A-Cerebellum-PK32,Cerebellum,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Cerebellum-PK32_AS_significant_final.txt,
5,ATAC-seq,A-PK29-XQN-3,A-Hypothalamus-PK29,Hypothalamus,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Hypothalamus-PK29_AS_significant_final.txt,
6,ATAC-seq,A-pk32-XQN,A-Hypothalamus-PK32,Hypothalamus,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Hypothalamus-PK32_AS_significant_final.txt,
7,ATAC-seq,A-PK1-SWM-1,A-Retina-PK1,Retina,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Retina-PK1_AS_significant_final.txt,
8,ATAC-seq,A-PK29-SWM,A-Retina-PK29,Retina,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Retina-PK29_AS_significant_final.txt,
9,ATAC-seq,A-PK2-CT,A-Pituitary-PK2,Pituitary,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Pituitary-PK2_AS_significant_final.txt,
10,ATAC-seq,A-pk32-CT-1,A-Pituitary-PK32,Pituitary,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Pituitary-PK32_AS_significant_final.txt,
11,ATAC-seq,A-PK29-PZHI,A-Adipose-PK29,Adipose,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Adipose-PK29_AS_significant_final.txt,
12,ATAC-seq,A-PK2-Pzhi,A-Adipose-PK2,Adipose,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Adipose-PK2_AS_significant_final.txt,
13,ATAC-seq,A1-PK29-XJ-3,A-Muscle-PK29,Muscle,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Muscle-PK29_AS_significant_final.txt,
14,ATAC-seq,A-PK32-XJ,A-Muscle-PK32,Muscle,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Muscle-PK32_AS_significant_final.txt,
15,ATAC-seq,A-PK29-CB,A-Wing-PK29,Wing,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Wing-PK29_AS_significant_final.txt,
16,ATAC-seq,A-PK32-CB,A-Wing-PK32,Wing,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Wing-PK32_AS_significant_final.txt,
17,ATAC-seq,A-PK29-QN2,A-Airsac-PK29,Airsac,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Airsac-PK29_AS_significant_final.txt,
18,ATAC-seq,A-PK32-QN-1,A-Airsac-PK32,Airsac,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Airsac-PK32_AS_significant_final.txt,
19,ATAC-seq,A-lung-PK29-2,A-Lung-PK29,Lung,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Lung-PK29_AS_significant_final.txt,
20,ATAC-seq,A-PK32-F-1,A-Lung-PK32,Lung,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Lung-PK32_AS_significant_final.txt,
21,ATAC-seq,A-spleen-PK29-1,A-Spleen-PK29,Spleen,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Spleen-PK29_AS_significant_final.txt,
22,ATAC-seq,A-PK32-PZa-1,A-Spleen-PK32,Spleen,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Spleen-PK32_AS_significant_final.txt,
23,ATAC-seq,A-PK29-XX,A-Thymus-PK29,Thymus,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Thymus-PK29_AS_significant_final.txt,
24,ATAC-seq,A-PK32-xx-1,A-Thymus-PK32,Thymus,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Thymus-PK32_AS_significant_final.txt,
25,ATAC-seq,A-bursa-fabricius-PK29-2,A-Bursa-PK29,Bursa,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Bursa-PK29_AS_significant_final.txt,
26,ATAC-seq,A-PK32-FSN-1,A-Bursa-PK32,Bursa,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Bursa-PK32_AS_significant_final.txt,
27,ATAC-seq,A-ZF35-LC,A-Ovary-ZF35,Ovary,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Ovary-ZF35_AS_significant_final.txt,
28,ATAC-seq,A-ZF36-LC,A-Ovary-ZF36,Ovary,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Ovary-ZF36_AS_significant_final.txt,
29,ATAC-seq,A-ZF35-PD,A-Magnum-ZF35,Magnum,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Magnum-ZF35_AS_significant_final.txt,
30,ATAC-seq,A-ZF36-PD,A-Magnum-ZF36,Magnum,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Magnum-ZF36_AS_significant_final.txt,
31,ATAC-seq,A-ZF35-ZG,A-Uterus-ZF35,Uterus,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Uterus-ZF35_AS_significant_final.txt,
32,ATAC-seq,A-ZF36-ZG,A-Uterus-ZF36,Uterus,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Uterus-ZF36_AS_significant_final.txt,
33,ATAC-seq,A-ZF31-GW,A-Testis-ZF31,Testis,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Testis-ZF31_AS_significant_final.txt,
34,ATAC-seq,A-ZF32-GW,A-Testis-ZF32,Testis,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Testis-ZF32_AS_significant_final.txt,
35,ATAC-seq,A-PK29-XZ,A-Heart-PK29,Heart,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Heart-PK29_AS_significant_final.txt,
36,ATAC-seq,A-PK32-XZ2,A-Heart-PK32,Heart,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Heart-PK32_AS_significant_final.txt,
37,ATAC-seq,A-kidney-PK29-1,A-Kidney-PK29,Kidney,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Kidney-PK29_AS_significant_final.txt,
38,ATAC-seq,A-pk32-SZ-1,A-Kidney-PK32,Kidney,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Kidney-PK32_AS_significant_final.txt,
39,ATAC-seq,A2-GZ,A-Liver,Liver,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Liver_AS_significant_final.txt,
40,ATAC-seq,A-PK32-GZ-2,A-Liver-PK32,Liver,/path/to/data/Epigenomes/Duck/allele-specific_imbalance/duck_epi_asi/A-Liver-PK32_AS_significant_final.txt,
